PRODUCT_CATEGORY,REVENUE,STORE_LOCATION,TRANSACTION_DATE,TRANSACTION_TIME,YEAR,MONTH,MONTH_NAME,DAY_OF_MONTH,DAY_NAME,TIME_BUCKET
Coffee beans,45,Astoria,2023-03-08,25:10.0,2023,3,Mar,8,Wed,02. Afternoon
Coffee beans,45,Lower Manhattan,2023-06-12,21:25.0,2023,6,Jun,12,Mon,01. Morning
Coffee beans,45,Hell's Kitchen,2023-01-19,33:33.0,2023,1,Jan,19,Thu,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-16,09:53.0,2023,6,Jun,16,Fri,01. Morning
Coffee beans,45,Lower Manhattan,2023-02-27,49:34.0,2023,2,Feb,27,Mon,01. Morning
Coffee beans,45,Hell's Kitchen,2023-04-21,25:26.0,2023,4,Apr,21,Fri,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-12,02:14.0,2023,6,Jun,12,Mon,01. Morning
Coffee beans,45,Lower Manhattan,2023-06-12,16:12.0,2023,6,Jun,12,Mon,02. Afternoon
Coffee beans,45,Hell's Kitchen,2023-06-19,33:33.0,2023,6,Jun,19,Mon,01. Morning
Coffee beans,45,Hell's Kitchen,2023-05-20,50:04.0,2023,5,May,20,Sat,02. Afternoon
Coffee beans,45,Lower Manhattan,2023-06-30,03:56.0,2023,6,Jun,30,Fri,02. Afternoon
Coffee beans,45,Lower Manhattan,2023-05-22,49:21.0,2023,5,May,22,Mon,01. Morning
Coffee beans,45,Hell's Kitchen,2023-04-23,04:38.0,2023,4,Apr,23,Sun,01. Morning
Coffee beans,45,Hell's Kitchen,2023-01-20,50:04.0,2023,1,Jan,20,Fri,02. Afternoon
Coffee beans,45,Hell's Kitchen,2023-05-13,51:56.0,2023,5,May,13,Sat,01. Morning
Coffee beans,45,Lower Manhattan,2023-02-16,17:13.0,2023,2,Feb,16,Thu,01. Morning
Coffee beans,45,Lower Manhattan,2023-01-16,36:12.0,2023,1,Jan,16,Mon,01. Morning
Coffee beans,45,Lower Manhattan,2023-06-10,20:43.0,2023,6,Jun,10,Sat,01. Morning
Coffee beans,45,Hell's Kitchen,2023-05-19,47:39.0,2023,5,May,19,Fri,01. Morning
Coffee beans,45,Lower Manhattan,2023-06-18,48:23.0,2023,6,Jun,18,Sun,01. Morning
Coffee beans,45,Astoria,2023-04-10,15:28.0,2023,4,Apr,10,Mon,03. Evening
Coffee beans,45,Lower Manhattan,2023-02-22,49:21.0,2023,2,Feb,22,Wed,01. Morning
Coffee beans,45,Astoria,2023-04-16,22:54.0,2023,4,Apr,16,Sun,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-30,25:26.0,2023,6,Jun,30,Fri,01. Morning
Coffee beans,45,Hell's Kitchen,2023-04-18,03:38.0,2023,4,Apr,18,Tue,01. Morning
Coffee beans,45,Hell's Kitchen,2023-01-21,24:52.0,2023,1,Jan,21,Sat,01. Morning
Coffee beans,45,Hell's Kitchen,2023-03-30,29:02.0,2023,3,Mar,30,Thu,01. Morning
Coffee beans,45,Hell's Kitchen,2023-02-23,25:03.0,2023,2,Feb,23,Thu,01. Morning
Coffee beans,45,Hell's Kitchen,2023-04-23,25:03.0,2023,4,Apr,23,Sun,01. Morning
Coffee beans,45,Astoria,2023-05-15,18:51.0,2023,5,May,15,Mon,03. Evening
Coffee beans,45,Hell's Kitchen,2023-03-25,49:41.0,2023,3,Mar,25,Sat,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-20,50:04.0,2023,6,Jun,20,Tue,02. Afternoon
Coffee beans,45,Hell's Kitchen,2023-06-21,24:52.0,2023,6,Jun,21,Wed,01. Morning
Coffee beans,45,Hell's Kitchen,2023-02-23,04:38.0,2023,2,Feb,23,Thu,01. Morning
Coffee beans,45,Lower Manhattan,2023-05-13,22:32.0,2023,5,May,13,Sat,02. Afternoon
Coffee beans,45,Astoria,2023-06-19,18:51.0,2023,6,Jun,19,Mon,03. Evening
Coffee beans,45,Astoria,2023-05-20,50:58.0,2023,5,May,20,Sat,01. Morning
Coffee beans,45,Astoria,2023-01-15,37:12.0,2023,1,Jan,15,Sun,03. Evening
Coffee beans,45,Astoria,2023-06-20,50:58.0,2023,6,Jun,20,Tue,01. Morning
Coffee beans,45,Astoria,2023-05-16,22:54.0,2023,5,May,16,Tue,01. Morning
Coffee beans,45,Hell's Kitchen,2023-03-13,51:56.0,2023,3,Mar,13,Mon,01. Morning
Coffee beans,45,Lower Manhattan,2023-06-27,49:34.0,2023,6,Jun,27,Tue,01. Morning
Coffee beans,45,Hell's Kitchen,2023-01-11,24:31.0,2023,1,Jan,11,Wed,01. Morning
Coffee beans,45,Lower Manhattan,2023-06-11,03:56.0,2023,6,Jun,11,Sun,02. Afternoon
Coffee beans,45,Hell's Kitchen,2023-04-08,29:02.0,2023,4,Apr,8,Sat,01. Morning
Coffee beans,45,Hell's Kitchen,2023-04-12,44:10.0,2023,4,Apr,12,Wed,03. Evening
Coffee beans,45,Astoria,2023-01-19,18:51.0,2023,1,Jan,19,Thu,03. Evening
Coffee beans,45,Hell's Kitchen,2023-03-14,53:04.0,2023,3,Mar,14,Tue,01. Morning
Coffee beans,45,Hell's Kitchen,2023-05-14,53:04.0,2023,5,May,14,Sun,01. Morning
Coffee beans,45,Hell's Kitchen,2023-05-08,29:02.0,2023,5,May,8,Mon,01. Morning
Coffee beans,45,Hell's Kitchen,2023-04-14,57:38.0,2023,4,Apr,14,Fri,01. Morning
Coffee beans,45,Astoria,2023-05-20,34:02.0,2023,5,May,20,Sat,03. Evening
Coffee beans,45,Hell's Kitchen,2023-04-19,47:39.0,2023,4,Apr,19,Wed,01. Morning
Coffee beans,45,Lower Manhattan,2023-03-13,22:32.0,2023,3,Mar,13,Mon,02. Afternoon
Coffee beans,45,Astoria,2023-06-10,15:28.0,2023,6,Jun,10,Sat,03. Evening
Coffee beans,45,Astoria,2023-04-30,34:02.0,2023,4,Apr,30,Sun,03. Evening
Coffee beans,45,Astoria,2023-05-17,26:25.0,2023,5,May,17,Wed,01. Morning
Coffee beans,45,Hell's Kitchen,2023-03-12,02:14.0,2023,3,Mar,12,Sun,01. Morning
Coffee beans,45,Hell's Kitchen,2023-05-16,09:53.0,2023,5,May,16,Tue,01. Morning
Coffee beans,45,Lower Manhattan,2023-05-16,36:12.0,2023,5,May,16,Tue,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-18,03:38.0,2023,6,Jun,18,Sun,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-21,25:26.0,2023,6,Jun,21,Wed,01. Morning
Coffee beans,45,Lower Manhattan,2023-02-12,16:12.0,2023,2,Feb,12,Sun,02. Afternoon
Coffee beans,45,Astoria,2023-02-09,23:09.0,2023,2,Feb,9,Thu,03. Evening
Coffee beans,45,Lower Manhattan,2023-05-27,12:41.0,2023,5,May,27,Sat,02. Afternoon
Coffee beans,45,Astoria,2023-03-11,02:23.0,2023,3,Mar,11,Sat,01. Morning
Coffee beans,45,Hell's Kitchen,2023-03-21,25:26.0,2023,3,Mar,21,Tue,01. Morning
Coffee beans,45,Astoria,2023-06-19,58:02.0,2023,6,Jun,19,Mon,01. Morning
Coffee beans,45,Hell's Kitchen,2023-03-21,52:55.0,2023,3,Mar,21,Tue,04. Night
Coffee beans,45,Hell's Kitchen,2023-05-12,02:14.0,2023,5,May,12,Fri,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-21,52:55.0,2023,6,Jun,21,Wed,04. Night
Coffee beans,45,Hell's Kitchen,2023-02-21,25:26.0,2023,2,Feb,21,Tue,01. Morning
Coffee beans,45,Hell's Kitchen,2023-02-12,02:14.0,2023,2,Feb,12,Sun,01. Morning
Coffee beans,45,Hell's Kitchen,2023-03-16,09:53.0,2023,3,Mar,16,Thu,01. Morning
Coffee beans,45,Hell's Kitchen,2023-02-12,05:01.0,2023,2,Feb,12,Sun,01. Morning
Coffee beans,45,Hell's Kitchen,2023-02-26,59:30.0,2023,2,Feb,26,Sun,01. Morning
Coffee beans,45,Astoria,2023-05-20,56:39.0,2023,5,May,20,Sat,03. Evening
Coffee beans,45,Astoria,2023-03-10,15:28.0,2023,3,Mar,10,Fri,03. Evening
Coffee beans,45,Lower Manhattan,2023-05-30,20:43.0,2023,5,May,30,Tue,01. Morning
Coffee beans,45,Lower Manhattan,2023-06-10,20:56.0,2023,6,Jun,10,Sat,01. Morning
Coffee beans,45,Lower Manhattan,2023-05-30,48:23.0,2023,5,May,30,Tue,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-13,51:56.0,2023,6,Jun,13,Tue,01. Morning
Coffee beans,45,Lower Manhattan,2023-05-27,49:34.0,2023,5,May,27,Sat,01. Morning
Coffee beans,45,Hell's Kitchen,2023-05-21,03:04.0,2023,5,May,21,Sun,02. Afternoon
Coffee beans,45,Lower Manhattan,2023-04-10,20:56.0,2023,4,Apr,10,Mon,01. Morning
Coffee beans,45,Lower Manhattan,2023-04-16,17:13.0,2023,4,Apr,16,Sun,01. Morning
Coffee beans,45,Hell's Kitchen,2023-02-19,47:39.0,2023,2,Feb,19,Sun,01. Morning
Coffee beans,45,Astoria,2023-03-19,37:12.0,2023,3,Mar,19,Sun,03. Evening
Coffee beans,45,Hell's Kitchen,2023-06-17,38:31.0,2023,6,Jun,17,Sat,01. Morning
Coffee beans,45,Lower Manhattan,2023-06-13,22:32.0,2023,6,Jun,13,Tue,02. Afternoon
Coffee beans,45,Lower Manhattan,2023-06-27,12:41.0,2023,6,Jun,27,Tue,02. Afternoon
Coffee beans,45,Lower Manhattan,2023-06-10,52:18.0,2023,6,Jun,10,Sat,02. Afternoon
Coffee beans,45,Lower Manhattan,2023-04-19,58:12.0,2023,4,Apr,19,Wed,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-19,47:39.0,2023,6,Jun,19,Mon,01. Morning
Coffee beans,45,Lower Manhattan,2023-03-11,03:56.0,2023,3,Mar,11,Sat,02. Afternoon
Coffee beans,45,Lower Manhattan,2023-05-22,20:52.0,2023,5,May,22,Mon,01. Morning
Coffee beans,45,Lower Manhattan,2023-03-12,21:25.0,2023,3,Mar,12,Sun,01. Morning
Coffee beans,45,Lower Manhattan,2023-03-22,20:52.0,2023,3,Mar,22,Wed,01. Morning
Coffee beans,45,Lower Manhattan,2023-06-19,58:12.0,2023,6,Jun,19,Mon,01. Morning
Coffee beans,45,Hell's Kitchen,2023-04-26,59:30.0,2023,4,Apr,26,Wed,01. Morning
Coffee beans,45,Lower Manhattan,2023-06-11,53:09.0,2023,6,Jun,11,Sun,02. Afternoon
Coffee beans,45,Hell's Kitchen,2023-04-16,09:53.0,2023,4,Apr,16,Sun,01. Morning
Coffee beans,45,Astoria,2023-05-08,25:10.0,2023,5,May,8,Mon,02. Afternoon
Coffee beans,45,Astoria,2023-06-20,56:39.0,2023,6,Jun,20,Tue,03. Evening
Coffee beans,45,Astoria,2023-06-19,37:12.0,2023,6,Jun,19,Mon,03. Evening
Coffee beans,45,Astoria,2023-02-09,04:39.0,2023,2,Feb,9,Thu,02. Afternoon
Coffee beans,45,Lower Manhattan,2023-01-11,53:09.0,2023,1,Jan,11,Wed,02. Afternoon
Coffee beans,45,Hell's Kitchen,2023-03-23,23:14.0,2023,3,Mar,23,Thu,01. Morning
Coffee beans,45,Astoria,2023-03-19,58:02.0,2023,3,Mar,19,Sun,01. Morning
Coffee beans,45,Astoria,2023-04-20,47:06.0,2023,4,Apr,20,Thu,01. Morning
Coffee beans,45,Hell's Kitchen,2023-05-21,24:52.0,2023,5,May,21,Sun,01. Morning
Coffee beans,45,Hell's Kitchen,2023-05-11,24:31.0,2023,5,May,11,Thu,01. Morning
Coffee beans,45,Astoria,2023-04-18,51:15.0,2023,4,Apr,18,Tue,01. Morning
Coffee beans,45,Hell's Kitchen,2023-01-16,09:53.0,2023,1,Jan,16,Mon,01. Morning
Coffee beans,45,Hell's Kitchen,2023-02-18,03:38.0,2023,2,Feb,18,Sat,01. Morning
Coffee beans,45,Lower Manhattan,2023-03-10,20:56.0,2023,3,Mar,10,Fri,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-14,57:38.0,2023,6,Jun,14,Wed,01. Morning
Coffee beans,45,Hell's Kitchen,2023-05-30,29:02.0,2023,5,May,30,Tue,01. Morning
Coffee beans,45,Lower Manhattan,2023-01-10,20:43.0,2023,1,Jan,10,Tue,01. Morning
Coffee beans,45,Hell's Kitchen,2023-02-19,33:33.0,2023,2,Feb,19,Sun,01. Morning
Coffee beans,45,Lower Manhattan,2023-05-16,17:13.0,2023,5,May,16,Tue,01. Morning
Coffee beans,45,Hell's Kitchen,2023-04-14,53:04.0,2023,4,Apr,14,Fri,01. Morning
Coffee beans,45,Lower Manhattan,2023-03-27,12:41.0,2023,3,Mar,27,Mon,02. Afternoon
Coffee beans,45,Hell's Kitchen,2023-01-14,57:38.0,2023,1,Jan,14,Sat,01. Morning
Coffee beans,45,Astoria,2023-06-09,04:39.0,2023,6,Jun,9,Fri,02. Afternoon
Coffee beans,45,Lower Manhattan,2023-02-19,58:12.0,2023,2,Feb,19,Sun,01. Morning
Coffee beans,45,Hell's Kitchen,2023-03-23,04:38.0,2023,3,Mar,23,Thu,01. Morning
Coffee beans,45,Hell's Kitchen,2023-03-12,44:10.0,2023,3,Mar,12,Sun,03. Evening
Coffee beans,45,Astoria,2023-06-15,37:12.0,2023,6,Jun,15,Thu,03. Evening
Coffee beans,45,Astoria,2023-02-18,51:15.0,2023,2,Feb,18,Sat,01. Morning
Coffee beans,45,Hell's Kitchen,2023-05-25,49:41.0,2023,5,May,25,Thu,01. Morning
Coffee beans,45,Lower Manhattan,2023-02-10,52:18.0,2023,2,Feb,10,Fri,02. Afternoon
Coffee beans,45,Astoria,2023-02-16,22:54.0,2023,2,Feb,16,Thu,01. Morning
Coffee beans,45,Astoria,2023-05-20,47:06.0,2023,5,May,20,Sat,01. Morning
Coffee beans,45,Hell's Kitchen,2023-03-31,51:56.0,2023,3,Mar,31,Fri,01. Morning
Coffee beans,45,Astoria,2023-05-09,04:39.0,2023,5,May,9,Tue,02. Afternoon
Coffee beans,45,Lower Manhattan,2023-05-19,58:12.0,2023,5,May,19,Fri,01. Morning
Coffee beans,45,Lower Manhattan,2023-05-31,22:32.0,2023,5,May,31,Wed,02. Afternoon
Coffee beans,45,Lower Manhattan,2023-03-27,49:34.0,2023,3,Mar,27,Mon,01. Morning
Coffee beans,45,Hell's Kitchen,2023-05-19,33:33.0,2023,5,May,19,Fri,01. Morning
Coffee beans,45,Astoria,2023-01-20,34:02.0,2023,1,Jan,20,Fri,03. Evening
Coffee beans,45,Astoria,2023-01-15,18:51.0,2023,1,Jan,15,Sun,03. Evening
Coffee beans,45,Astoria,2023-01-20,56:39.0,2023,1,Jan,20,Fri,03. Evening
Coffee beans,45,Astoria,2023-03-17,26:25.0,2023,3,Mar,17,Fri,01. Morning
Coffee beans,45,Hell's Kitchen,2023-01-23,23:14.0,2023,1,Jan,23,Mon,01. Morning
Coffee beans,45,Hell's Kitchen,2023-03-14,30:08.0,2023,3,Mar,14,Tue,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-08,29:02.0,2023,6,Jun,8,Thu,01. Morning
Coffee beans,45,Lower Manhattan,2023-05-10,20:56.0,2023,5,May,10,Wed,01. Morning
Coffee beans,45,Hell's Kitchen,2023-01-17,21:39.0,2023,1,Jan,17,Tue,02. Afternoon
Coffee beans,45,Hell's Kitchen,2023-04-23,23:14.0,2023,4,Apr,23,Sun,01. Morning
Coffee beans,45,Hell's Kitchen,2023-05-23,25:03.0,2023,5,May,23,Tue,01. Morning
Coffee beans,45,Astoria,2023-06-08,25:10.0,2023,6,Jun,8,Thu,02. Afternoon
Coffee beans,45,Lower Manhattan,2023-04-22,49:21.0,2023,4,Apr,22,Sat,01. Morning
Coffee beans,45,Hell's Kitchen,2023-01-25,49:41.0,2023,1,Jan,25,Wed,01. Morning
Coffee beans,45,Hell's Kitchen,2023-06-23,25:03.0,2023,6,Jun,23,Fri,01. Morning
Coffee beans,45,Hell's Kitchen,2023-01-30,44:10.0,2023,1,Jan,30,Mon,03. Evening
Coffee beans,45,Astoria,2023-01-17,35:19.0,2023,1,Jan,17,Tue,01. Morning
Coffee beans,36,Lower Manhattan,2023-04-08,13:06.0,2023,4,Apr,8,Sat,01. Morning
Coffee beans,36,Lower Manhattan,2023-05-08,13:06.0,2023,5,May,8,Mon,01. Morning
Coffee beans,36,Lower Manhattan,2023-06-08,13:06.0,2023,6,Jun,8,Thu,01. Morning
Coffee beans,36,Lower Manhattan,2023-06-30,13:06.0,2023,6,Jun,30,Fri,01. Morning
Coffee beans,36,Lower Manhattan,2023-01-08,13:06.0,2023,1,Jan,8,Sun,01. Morning
Coffee beans,31.75,Lower Manhattan,2023-04-07,42:52.0,2023,4,Apr,7,Fri,01. Morning
Coffee beans,31.75,Lower Manhattan,2023-01-07,42:52.0,2023,1,Jan,7,Sat,01. Morning
Coffee beans,31.75,Lower Manhattan,2023-06-30,42:52.0,2023,6,Jun,30,Fri,01. Morning
Branded,28,Lower Manhattan,2023-04-25,58:05.0,2023,4,Apr,25,Tue,01. Morning
Branded,28,Lower Manhattan,2023-03-25,39:20.0,2023,3,Mar,25,Sat,01. Morning
Branded,28,Lower Manhattan,2023-05-25,39:20.0,2023,5,May,25,Thu,01. Morning
Branded,28,Lower Manhattan,2023-03-25,58:05.0,2023,3,Mar,25,Sat,01. Morning
Branded,28,Lower Manhattan,2023-01-13,02:14.0,2023,1,Jan,13,Fri,01. Morning
Coffee beans,28,Lower Manhattan,2023-04-07,05:19.0,2023,4,Apr,7,Fri,01. Morning
Branded,28,Astoria,2023-01-21,24:42.0,2023,1,Jan,21,Sat,01. Morning
Coffee beans,28,Lower Manhattan,2023-04-07,50:42.0,2023,4,Apr,7,Fri,01. Morning
Branded,28,Astoria,2023-01-14,41:06.0,2023,1,Jan,14,Sat,01. Morning
Branded,28,Astoria,2023-06-16,54:07.0,2023,6,Jun,16,Fri,02. Afternoon
Branded,28,Astoria,2023-02-14,11:42.0,2023,2,Feb,14,Tue,01. Morning
Branded,28,Lower Manhattan,2023-06-09,32:37.0,2023,6,Jun,9,Fri,01. Morning
Coffee beans,28,Lower Manhattan,2023-03-07,59:06.0,2023,3,Mar,7,Tue,01. Morning
Branded,28,Astoria,2023-01-31,08:53.0,2023,1,Jan,31,Tue,01. Morning
Branded,28,Lower Manhattan,2023-05-27,09:41.0,2023,5,May,27,Sat,01. Morning
Branded,28,Astoria,2023-01-21,24:36.0,2023,1,Jan,21,Sat,03. Evening
Branded,28,Lower Manhattan,2023-04-26,44:30.0,2023,4,Apr,26,Wed,02. Afternoon
Branded,28,Astoria,2023-05-19,04:58.0,2023,5,May,19,Fri,01. Morning
Branded,28,Astoria,2023-01-19,04:58.0,2023,1,Jan,19,Thu,01. Morning
Branded,28,Hell's Kitchen,2023-06-11,25:09.0,2023,6,Jun,11,Sun,01. Morning
Branded,28,Lower Manhattan,2023-03-27,19:35.0,2023,3,Mar,27,Mon,02. Afternoon
Branded,28,Hell's Kitchen,2023-05-31,17:04.0,2023,5,May,31,Wed,01. Morning
Branded,28,Lower Manhattan,2023-02-09,14:36.0,2023,2,Feb,9,Thu,01. Morning
Branded,28,Astoria,2023-06-15,04:58.0,2023,6,Jun,15,Thu,01. Morning
Branded,28,Astoria,2023-02-08,54:56.0,2023,2,Feb,8,Wed,02. Afternoon
Branded,28,Hell's Kitchen,2023-06-15,00:35.0,2023,6,Jun,15,Thu,01. Morning
Branded,28,Hell's Kitchen,2023-04-12,12:51.0,2023,4,Apr,12,Wed,01. Morning
Coffee beans,28,Lower Manhattan,2023-02-07,59:06.0,2023,2,Feb,7,Tue,01. Morning
Branded,28,Astoria,2023-04-19,57:48.0,2023,4,Apr,19,Wed,01. Morning
Branded,28,Lower Manhattan,2023-01-24,26:54.0,2023,1,Jan,24,Tue,01. Morning
Branded,28,Astoria,2023-05-11,26:05.0,2023,5,May,11,Thu,01. Morning
Branded,28,Hell's Kitchen,2023-03-21,35:24.0,2023,3,Mar,21,Tue,01. Morning
Branded,28,Hell's Kitchen,2023-05-21,35:24.0,2023,5,May,21,Sun,01. Morning
Branded,28,Astoria,2023-06-14,24:36.0,2023,6,Jun,14,Wed,03. Evening
Branded,28,Lower Manhattan,2023-06-14,17:52.0,2023,6,Jun,14,Wed,01. Morning
Branded,28,Lower Manhattan,2023-04-25,30:29.0,2023,4,Apr,25,Tue,01. Morning
Branded,28,Astoria,2023-06-14,11:42.0,2023,6,Jun,14,Wed,01. Morning
Branded,28,Astoria,2023-06-14,38:12.0,2023,6,Jun,14,Wed,02. Afternoon
Branded,28,Lower Manhattan,2023-06-26,44:30.0,2023,6,Jun,26,Mon,02. Afternoon
Branded,28,Lower Manhattan,2023-01-14,07:32.0,2023,1,Jan,14,Sat,02. Afternoon
Branded,28,Lower Manhattan,2023-03-09,14:36.0,2023,3,Mar,9,Thu,01. Morning
Branded,28,Lower Manhattan,2023-03-22,54:14.0,2023,3,Mar,22,Wed,01. Morning
Branded,28,Astoria,2023-01-30,54:56.0,2023,1,Jan,30,Mon,02. Afternoon
Coffee beans,28,Lower Manhattan,2023-04-07,59:06.0,2023,4,Apr,7,Fri,01. Morning
Branded,28,Hell's Kitchen,2023-04-11,25:09.0,2023,4,Apr,11,Tue,01. Morning
Branded,28,Lower Manhattan,2023-01-26,33:41.0,2023,1,Jan,26,Thu,03. Evening
Branded,28,Lower Manhattan,2023-06-27,09:41.0,2023,6,Jun,27,Tue,01. Morning
Branded,28,Lower Manhattan,2023-06-19,26:07.0,2023,6,Jun,19,Mon,01. Morning
Coffee beans,28,Lower Manhattan,2023-01-07,05:19.0,2023,1,Jan,7,Sat,01. Morning
Branded,28,Lower Manhattan,2023-05-09,49:33.0,2023,5,May,9,Tue,02. Afternoon
Branded,28,Lower Manhattan,2023-06-17,44:40.0,2023,6,Jun,17,Sat,02. Afternoon
Branded,28,Astoria,2023-06-17,16:54.0,2023,6,Jun,17,Sat,02. Afternoon
Branded,28,Astoria,2023-04-21,38:12.0,2023,4,Apr,21,Fri,02. Afternoon
Branded,28,Astoria,2023-06-19,22:36.0,2023,6,Jun,19,Mon,03. Evening
Branded,28,Lower Manhattan,2023-03-22,34:19.0,2023,3,Mar,22,Wed,01. Morning
Branded,28,Lower Manhattan,2023-06-21,11:39.0,2023,6,Jun,21,Wed,01. Morning
Branded,28,Astoria,2023-01-14,24:42.0,2023,1,Jan,14,Sat,01. Morning
Branded,28,Lower Manhattan,2023-06-30,14:36.0,2023,6,Jun,30,Fri,01. Morning
Branded,28,Astoria,2023-05-14,11:42.0,2023,5,May,14,Sun,01. Morning
Branded,28,Astoria,2023-06-17,15:11.0,2023,6,Jun,17,Sat,01. Morning
Branded,28,Astoria,2023-06-18,50:37.0,2023,6,Jun,18,Sun,03. Evening
Branded,28,Astoria,2023-06-19,19:35.0,2023,6,Jun,19,Mon,02. Afternoon
Branded,28,Lower Manhattan,2023-05-24,26:54.0,2023,5,May,24,Wed,01. Morning
Branded,28,Astoria,2023-05-15,57:48.0,2023,5,May,15,Mon,01. Morning
Branded,28,Hell's Kitchen,2023-03-20,31:53.0,2023,3,Mar,20,Mon,01. Morning
Branded,28,Astoria,2023-06-11,09:00.0,2023,6,Jun,11,Sun,02. Afternoon
Branded,28,Hell's Kitchen,2023-06-21,35:24.0,2023,6,Jun,21,Wed,01. Morning
Branded,28,Lower Manhattan,2023-06-26,33:41.0,2023,6,Jun,26,Mon,03. Evening
Coffee beans,28,Lower Manhattan,2023-05-07,59:06.0,2023,5,May,7,Sun,01. Morning
